Title,Max Players,Multiplatform?,Online?,Genres,Publisher,Review Score,Sales,Console,Rating,Year
Field Commander,2,True,True,Strategy,"Sony,Ubisoft",77,0.16,Sony PSP,T,2006
Children of Mana,1,True,True,"Action,Role-Playing (RPG)","Nintendo,SquareEnix",65,0.16,Nintendo DS,E,2006
Valkyrie Profile: Lenneth,1,True,True,Role-Playing (RPG),SquareEnix,80,0.16,Sony PSP,E,2006
Monster House,1,True,True,Action,THQ,62,0.15,Nintendo DS,M,2006
Enchanted Arms,1,True,True,Role-Playing (RPG),Ubisoft,69,0.15,X360,E,2006
NHL 07,4,True,True,Sports,EA,76,0.14,Sony PSP,M,2006
Bust-a-Move Deluxe,2,True,True,Strategy,,73,0.14,Sony PSP,M,2006
Full Auto 2: Battlelines,2,True,True,"Action,Racing / Driving",Sega,67,0.14,PlayStation 3,T,2006
Blitz: The League,2,True,True,Sports,Midway,69,0.14,X360,T,2006
Star Trek Legacy,2,True,True,"Action,Strategy",Ubisoft,64,0.14,X360,E,2006
Eragon,1,True,True,"Action,Role-Playing (RPG)",,63,0.14,Nintendo DS,E,2006
Master of Illusion,1,True,True,Strategy,Nintendo,69,0.14,Nintendo DS,E,2006
Mega Man ZX,1,True,True,Action,Capcom,76,0.14,Nintendo DS,T,2006
Untold Legends: The Warrior's Code,1,True,True,"Action,Role-Playing (RPG)","Sony,Ubisoft",65,0.14,Sony PSP,T,2006
Super Swing Golf,1,True,True,Sports,,72,0.14,Nintendo Wii,T,2006
X-Men: The Official Game,1,True,True,Action,Activision,52,0.14,X360,M,2006
Untold Legends: Dark Kingdom,2,True,True,"Action,Role-Playing (RPG)","EA,Sony",58,0.13,PlayStation 3,E,2006
Happy Feet,2,True,True,Action,Midway,46,0.13,Nintendo Wii,E,2006
Open Season,1,True,True,Action,Ubisoft,72,0.13,Nintendo DS,T,2006
Dungeon Siege: Throne of Agony,1,True,True,Role-Playing (RPG),2K,74,0.13,Sony PSP,E,2006
LocoRoco,1,True,True,"Action,Strategy",Sony,83,0.13,Sony PSP,T,2006
Dead or Alive: Xtreme 2,1,True,True,"Racing / Driving,Sports",,53,0.13,X360,T,2006
Fuzion Frenzy 2,4,True,True,"Action,Sports",Microsoft,49,0.12,X360,T,2006
MotoGP '06,4,True,True,"Racing / Driving,Simulation,Sports",THQ,80,0.12,X360,M,2006
Lumines II,2,True,True,Strategy,,81,0.12,Sony PSP,E,2006
Major League Baseball 2K6,1,True,True,Sports,2K,69,0.12,Sony PSP,M,2006
Star Wars: Lethal Alliance,1,True,True,Action,Ubisoft,61,0.12,Sony PSP,T,2006
Worms: Open Warfare,1,True,True,"Action,Strategy",THQ,70,0.12,Sony PSP,T,2006
Eragon,4,True,True,Action,,59,0.11,Sony PSP,E,2006
Metal Slug Anthology,4,True,True,Action,,73,0.11,Nintendo Wii,T,2006
Open Season,4,True,True,Action,Ubisoft,59,0.11,X360,E,2006
Tom Clancy's Splinter Cell: Double Agent,2,True,True,Action,Ubisoft,61,0.11,Nintendo Wii,T,2006
Avatar: The Last Airbender,1,True,True,Action,THQ,57,0.11,Sony PSP,E,2006
Lemmings,1,True,True,Strategy,Sony,76,0.11,Sony PSP,E,2006
Mega Man Powered Up,1,True,True,Action,Capcom,82,0.11,Sony PSP,E,2006
College Hoops 2K6,1,True,True,Sports,2K,70,0.11,X360,E,2006
Dynasty Warriors 5: Empires,2,True,True,"Action,Role-Playing (RPG),Strategy",,61,0.1,X360,T,2006
Magical Starsign,1,True,True,Role-Playing (RPG),Nintendo,69,0.1,Nintendo DS,E,2006
Resident Evil: Deadly Silence,1,True,True,Action,Capcom,71,0.1,Nintendo DS,E,2006
X-Men: The Official Game,1,True,True,Action,Activision,50,0.1,Nintendo DS,E,2006
Cabela's African Safari,1,True,True,Sports,Activision,53,0.1,X360,E,2006
Cabela's Alaskan Adventures,1,True,True,Sports,Activision,48,0.1,X360,E,2006
Armored Core 4,2,True,True,Action,Sega,65,0.09,PlayStation 3,E,2006
Eragon,2,True,True,Action,,48,0.09,X360,T,2006
LostMagic,1,True,True,"Action,Role-Playing (RPG)",Ubisoft,68,0.09,Nintendo DS,T,2006
Magnetica,1,True,True,"Action,Strategy",Nintendo,68,0.09,Nintendo DS,T,2006
Def Jam Fight for NY: The Takeover,1,True,True,Action,EA,79,0.09,Sony PSP,T,2006
NASCAR 07,1,True,True,"Racing / Driving,Simulation",EA,66,0.09,Sony PSP,T,2006
The Ant Bully,1,True,True,Action,Midway,45,0.09,Nintendo Wii,T,2006
Just Cause,1,True,True,"Action,Racing / Driving",Eidos,73,0.09,X360,E,2006
Onechanbara: Bikini Samurai Squad,1,True,True,Action,,39,0.09,X360,E,2006
Phantasy Star Universe,1,True,True,Role-Playing (RPG),Sega,64,0.09,X360,E,2006
Project Sylpheed: Arc of Deception,1,True,True,Action,"Microsoft,SquareEnix",64,0.09,X360,T,2006
Winning Eleven: Pro Evolution Soccer 2007,6,True,True,Sports,Konami,80,0.08,X360,E,2006
Kororinpa: Marble Mania,2,True,True,"Action,Strategy",Nintendo,69,0.08,Nintendo Wii,T,2006
Digimon World DS,1,True,True,Role-Playing (RPG),Namco,49,0.08,Nintendo DS,E,2006
Justice League Heroes,1,True,True,Action,,43,0.08,Nintendo DS,E,2006
Innocent Life: A Futuristic Harvest Moon,1,True,True,"Role-Playing (RPG),Simulation,Strategy",,67,0.08,Sony PSP,E,2006
Power Stone Collection,1,True,True,Action,Capcom,74,0.08,Sony PSP,M,2006
EA Replay,4,True,True,"Action,Role-Playing (RPG),Simulation,Sports,Strategy",EA,56,0.07,Sony PSP,E,2006
Open Season,4,True,True,Action,Ubisoft,49,0.07,Nintendo Wii,M,2006
Samurai Warriors 2,4,True,True,Action,,52,0.07,X360,M,2006
Far Cry: Vengeance,2,True,True,Action,Ubisoft,38,0.07,Nintendo Wii,E,2006
Import Tuner Challenge,2,True,True,Racing / Driving,Ubisoft,54,0.07,X360,E,2006
Contact,1,True,True,"Adventure,Role-Playing (RPG)",,73,0.07,Nintendo DS,E,2006
Touch Detective,1,True,True,Adventure,,60,0.07,Nintendo DS,T,2006
FIFA Street 2,1,True,True,Sports,EA,58,0.07,Sony PSP,T,2006
007: From Russia with Love,1,True,True,"Action,Racing / Driving",EA,61,0.07,Sony PSP,T,2006
PaRappa the Rapper,1,True,True,Action,Sony,67,0.07,Sony PSP,T,2006
Riviera: The Promised Land,1,True,True,Role-Playing (RPG),,68,0.07,Sony PSP,M,2006
Samurai Warriors: State of War,1,True,True,Action,,64,0.07,Sony PSP,E,2006
Viewtiful Joe: Red Hot Rumble,1,True,True,Action,Capcom,63,0.07,Sony PSP,E,2006
Ice Age 2: The Meltdown,1,True,True,Action,,66,0.07,Nintendo Wii,E,2006
Rumble Roses XX,4,True,True,"Action,Sports",Konami,62,0.06,X360,E,2006
Bionicle Heroes,1,True,True,Action,Eidos,72,0.06,Nintendo DS,T,2006
Deep Labyrinth,1,True,True,Role-Playing (RPG),,57,0.06,Nintendo DS,T,2006
Blade Dancer: Lineage of Light,1,True,True,Role-Playing (RPG),,60,0.06,Sony PSP,E,2006
Every Extend Extra,1,True,True,Action,,74,0.06,Sony PSP,E,2006
Ultimate Ghosts 'N' Goblins,1,True,True,Action,Capcom,72,0.06,Sony PSP,E,2006
Xiaolin Showdown,1,True,True,Action,Konami,44,0.06,Sony PSP,M,2006
Bionicle Heroes,1,True,True,Action,Eidos,59,0.06,X360,T,2006
Bullet Witch,1,True,True,Action,Atari,55,0.06,X360,M,2006
Death Jr. II: Root of Evil,2,True,True,Action,Konami,68,0.05,Sony PSP,E,2006
Alex Rider: Stormbreaker,1,True,True,"Action,Adventure",THQ,48,0.05,Nintendo DS,M,2006
Cartoon Network Racing,1,True,True,Racing / Driving,,55,0.05,Nintendo DS,E,2006
Guilty Gear: Dust Strikers,1,True,True,Action,,60,0.05,Nintendo DS,E,2006
Gunpey DS,1,True,True,Strategy,Namco,70,0.05,Nintendo DS,E,2006
Lara Croft Tomb Raider: Legend,1,True,True,"Action,Racing / Driving",Eidos,58,0.05,Nintendo DS,E,2006
Worms: Open Warfare,1,True,True,"Action,Strategy",THQ,64,0.05,Nintendo DS,E,2006
Mercury Meltdown,1,True,True,Strategy,,78,0.05,Sony PSP,M,2006
MTX Mototrax,1,True,True,"Racing / Driving,Sports",Activision,67,0.05,Sony PSP,M,2006
Snoopy vs. the Red Baron,1,True,True,Action,Namco,76,0.05,Sony PSP,E,2006
Super Monkey Ball Adventure,1,True,True,"Action,Racing / Driving",Sega,56,0.05,Sony PSP,E,2006
Ys VI: The Ark of Napishtim,1,True,True,"Action,Role-Playing (RPG)",Konami,64,0.05,Sony PSP,E,2006
Bomberman Land Touch!,1,True,True,Action,,78,0.04,Nintendo DS,E,2006
Point Blank DS,1,True,True,Action,"Atari,Namco",66,0.04,Nintendo DS,M,2006
Scurge: Hive,1,True,True,Action,,70,0.04,Nintendo DS,M,2006
Star Trek: Tactical Assault,1,True,True,"Action,Strategy",Ubisoft,63,0.04,Nintendo DS,T,2006
Tao's Adventure: Curse of the Demon Seal,1,True,True,Role-Playing (RPG),Konami,50,0.04,Nintendo DS,E,2006
Ford Bold Moves Street Racing,1,True,True,Racing / Driving,Eidos,52,0.04,Sony PSP,T,2006
Gitaroo Man Lives!,1,True,True,Simulation,,80,0.04,Sony PSP,E,2006
Gradius Collection,1,True,True,Action,Konami,76,0.04,Sony PSP,T,2006
The Legend of Heroes II: Prophecy of the Moonli...,1,True,True,Role-Playing (RPG),Namco,63,0.04,Sony PSP,E,2006
Pac-Man World Rally,1,True,True,"Action,Racing / Driving",Namco,51,0.04,Sony PSP,T,2006
Bomberman: Act Zero,1,True,True,Action,Konami,34,0.04,X360,E,2006
Earth Defense Force 2017,2,True,True,Action,,69,0.03,X360,T,2006
WarTech: Senko no Ronde,2,True,True,Action,Ubisoft,60,0.03,X360,T,2006
MechAssault: Phantom War,1,True,True,Action,,66,0.03,Nintendo DS,E,2006
Astonishia Story,1,True,True,"Role-Playing (RPG),Strategy",Ubisoft,48,0.03,Sony PSP,T,2006
B-Boy,1,True,True,Action,Sony,50,0.03,Sony PSP,E,2006
BattleZone,1,True,True,Action,Atari,57,0.03,Sony PSP,E,2006
Bounty Hounds,1,True,True,"Action,Strategy",Namco,63,0.03,Sony PSP,T,2006
Bubble Bobble Evolution,1,True,True,Action,,47,0.03,Sony PSP,E,2006
MotoGP,1,True,True,"Racing / Driving,Sports",Sony,69,0.03,Sony PSP,E,2006
OutRun 2006: Coast 2 Coast,1,True,True,Racing / Driving,Sega,82,0.03,Sony PSP,E,2006
Warhammer: Battle for Atluma,1,True,True,Strategy,Namco,55,0.03,Sony PSP,M,2006
SBK: Snowboard Kids,1,True,True,"Action,Sports",,63,0.02,Nintendo DS,E,2006
Tenchu: Dark Secret,1,True,True,Action,Nintendo,37,0.02,Nintendo DS,E,2006
Dungeon Maker: Hunting Ground,1,True,True,"Action,Role-Playing (RPG)",,70,0.02,Sony PSP,E,2006
Metal Gear Solid: Digital Graphic Novel,1,True,True,Adventure,Konami,78,0.02,Sony PSP,T,2006
Star Trek: Tactical Assault,1,True,True,"Action,Strategy",Ubisoft,64,0.02,Sony PSP,E,2006
Micro Machines V4,2,True,True,"Action,Racing / Driving",,61,0.01,Sony PSP,E,2006
Platypus,2,True,True,Action,,59,0.01,Sony PSP,T,2006
Custom Robo Arena,1,True,True,"Action,Role-Playing (RPG)",Nintendo,74,0.01,Nintendo DS,T,2006
Gurumin: A Monstrous Adventure,1,True,True,Action,,78,0.01,Sony PSP,T,2006
Spider-Man 3,1,True,True,Action,Ubisoft,58,0.01,Sony PSP,M,2006
Wii Fit,1,True,True,"Educational,Sports",Nintendo,80,9.6,Nintendo Wii,T,2007
Halo 3,4,True,True,Action,Microsoft,94,8.03,X360,E,2007
Call of Duty 4: Modern Warfare,4,True,True,Action,Activision,94,5.77,X360,E,2007
Super Mario Galaxy,2,True,True,Action,Nintendo,97,4.94,Nintendo Wii,E,2007
Mario Party DS,1,True,True,"Action,Strategy",Nintendo,72,4.34,Nintendo DS,T,2007
Mario Party 8,4,True,True,"Action,Strategy",Nintendo,62,3.84,Nintendo Wii,T,2007
Guitar Hero III: Legends of Rock,2,True,True,"Action,Simulation",Activision,85,3.28,X360,T,2007
Link's Crossbow Training,1,True,True,Action,Nintendo,68,3.2,Nintendo Wii,E,2007
Guitar Hero III: Legends of Rock,2,True,True,"Action,Simulation",Activision,86,3.19,Nintendo Wii,T,2007
Assassin's Creed,1,True,True,Action,Ubisoft,81,3.17,X360,T,2007
LEGO Star Wars: The Complete Saga,2,True,True,Action,,80,3.03,Nintendo Wii,M,2007
Call of Duty 4: Modern Warfare,4,True,True,Action,Activision,94,2.91,PlayStation 3,E,2007
Mario & Sonic at the Olympic Games,4,True,True,"Action,Sports","Nintendo,Sega",67,2.74,Nintendo Wii,E,2007
LEGO Star Wars: The Complete Saga,1,True,True,"Action,Racing / Driving",,80,2.66,Nintendo DS,E,2007
Forza Motorsport 2,2,True,True,Racing / Driving,Microsoft,90,2.48,X360,T,2007
Madden NFL 08,4,True,True,Sports,EA,85,2.32,X360,E,2007
Guitar Hero II,2,True,True,"Action,Simulation",Activision,92,2.04,X360,T,2007
Rock Band,4,True,True,"Action,Simulation",,92,2.02,X360,E,2007
The Legend of Zelda: Phantom Hourglass,1,True,True,Action,Nintendo,90,1.92,Nintendo DS,E,2007
Pokmon Mystery Dungeon: Explorers of Darkness,1,True,True,Role-Playing (RPG),Nintendo,59,1.91,Nintendo DS,E,2007
Pokmon Mystery Dungeon: Explorers of Time,1,True,True,Role-Playing (RPG),Nintendo,59,1.91,Nintendo DS,T,2007
Assassin's Creed,1,True,True,Action,Ubisoft,81,1.77,PlayStation 3,T,2007
Uncharted: Drake's Fortune,1,True,True,Action,Sony,88,1.76,PlayStation 3,T,2007
Mass Effect,1,True,True,"Action,Role-Playing (RPG)",Microsoft,91,1.57,X360,T,2007
Cooking Mama 2: Dinner with Friends,1,True,True,Simulation,,70,1.56,Nintendo DS,E,2007
BioShock,1,True,True,Action,2K,96,1.52,X360,T,2007
Super Paper Mario,1,True,True,"Action,Role-Playing (RPG)",Nintendo,85,1.5,Nintendo Wii,E,2007
Game Party,4,True,True,Action,Midway,25,1.49,Nintendo Wii,T,2007
Ratchet & Clank: Size Matters,1,True,True,Action,Sony,85,1.47,Sony PSP,E,2007
Dance Dance Revolution Hottest Party,4,True,True,Action,Konami,73,1.45,Nintendo Wii,T,2007
Cooking Mama: Cook Off,2,True,True,Simulation,,61,1.38,Nintendo Wii,M,2007
Gran Turismo 5: Prologue,2,True,True,"Racing / Driving,Simulation",Sony,80,1.31,PlayStation 3,E,2007
Professor Layton and the Curious Village,1,True,True,"Adventure,Educational,Strategy",Nintendo,85,1.26,Nintendo DS,E,2007
Resident Evil 4,1,True,True,Action,Capcom,91,1.24,Nintendo Wii,T,2007
The Elder Scrolls IV: Oblivion,1,True,True,"Action,Role-Playing (RPG)",Ubisoft,93,1.2,PlayStation 3,T,2007
Transformers: Autobots,1,True,True,"Action,Racing / Driving",Activision,67,1.17,Nintendo DS,E,2007
Transformers: Decepticons,1,True,True,"Action,Racing / Driving",Activision,66,1.17,Nintendo DS,M,2007
Diddy Kong Racing DS,1,True,True,"Racing / Driving,Sports",Nintendo,63,1.16,Nintendo DS,T,2007
Big Brain Academy: Wii Degree,8,True,True,Action,Nintendo,68,1.1,Nintendo Wii,M,2007
Need for Speed: ProStreet,2,True,True,Racing / Driving,EA,72,1.1,X360,T,2007
Deal or No Deal,1,True,True,Strategy,,20,1.1,Nintendo DS,E,2007
LEGO Star Wars: The Complete Saga,2,True,True,Action,,80,1.09,X360,T,2007
Sonic and the Secret Rings,4,True,True,Action,Sega,69,1.08,Nintendo Wii,E,2007
The Orange Box,1,True,True,Action,,96,1.06,X360,E,2007
Crackdown,1,True,True,"Action,Racing / Driving,Role-Playing (RPG)",Microsoft,83,1.02,X360,M,2007
Rock Band,4,True,True,"Action,Simulation",,92,1.01,PlayStation 3,M,2007
Tiger Woods PGA Tour 08,4,True,True,Sports,EA,72,1,Nintendo Wii,T,2007
WWE Smackdown vs. Raw 2008,4,True,True,Sports,THQ,71,0.96,X360,T,2007
Madden NFL 08,4,True,True,Sports,EA,81,0.94,PlayStation 3,T,2007
Call of Duty 4: Modern Warfare,1,True,True,Action,Activision,75,0.94,Nintendo DS,T,2007
MySims,1,True,True,"Simulation,Strategy",EA,68,0.94,Nintendo Wii,T,2007
Mario Strikers Charged,4,True,True,"Action,Sports",Nintendo,79,0.93,Nintendo Wii,E,2007
Star Wars Battlefront: Renegade Squadron,1,True,True,Action,,73,0.93,Sony PSP,T,2007
Flash Focus: Vision Training in Minutes a Day,1,True,True,Action,Nintendo,59,0.91,Nintendo DS,T,2007
Metroid Prime 3: Corruption,1,True,True,Action,Nintendo,90,0.91,Nintendo Wii,T,2007
Tom Clancy's Ghost Recon: Advanced Warfighter 2...,1,True,True,Action,Ubisoft,86,0.89,X360,T,2007
Madden NFL 08,4,True,True,Sports,EA,76,0.86,Nintendo Wii,M,2007
Ratchet & Clank Future: Tools of Destruction,1,True,True,Action,Sony,89,0.86,PlayStation 3,E,2007
LEGO Star Wars: The Complete Saga,2,True,True,Action,,80,0.85,PlayStation 3,M,2007
Rayman Raving Rabbids 2,4,True,True,Action,Ubisoft,67,0.84,Nintendo Wii,T,2007
NBA 2K8 ,1,True,True,Sports,2K,81,0.83,X360,M,2007
Namco Museum DS,1,True,True,Action,Namco,67,0.8,Nintendo DS,E,2007
Need for Speed: ProStreet,2,True,True,Racing / Driving,EA,73,0.75,PlayStation 3,T,2007
Blazing Angels: Squadrons of WWII,2,True,True,Action,Ubisoft,57,0.75,Nintendo Wii,E,2007
Drawn to Life,1,True,True,Action,THQ,73,0.75,Nintendo DS,T,2007
EA Playground,4,True,True,"Action,Racing / Driving,Sports",EA,66,0.72,Nintendo Wii,T,2007
Major League Baseball 2K7,2,True,True,Sports,2K,79,0.7,X360,E,2007
Resident Evil: The Umbrella Chronicles,2,True,True,Action,"Capcom,Nintendo",75,0.69,Nintendo Wii,T,2007
NCAA Football 08,2,True,True,Sports,EA,81,0.68,X360,E,2007
Spectrobes,1,True,True,"Action,Strategy",,63,0.68,Nintendo DS,E,2007
The Sims 2: Castaway,1,True,True,Simulation,EA,66,0.66,Nintendo DS,M,2007
WWE Smackdown vs. Raw 2008,6,True,True,Sports,THQ,74,0.64,PlayStation 3,E,2007
Madden NFL 08,1,True,True,Sports,EA,75,0.64,Sony PSP,E,2007
NBA Live 08,4,True,True,Sports,EA,73,0.6,PlayStation 3,M,2007
The Simpsons Game,1,True,True,Action,EA,69,0.6,Nintendo DS,M,2007
Ace Combat 6: Fires of Liberation,1,True,True,"Action,Simulation",Namco,80,0.58,X360,E,2007
Heavenly Sword,1,True,True,Action,Sony,79,0.57,PlayStation 3,E,2007
Ninja Gaiden Sigma,1,True,True,Action,,88,0.57,PlayStation 3,E,2007
Ben 10: Protector of the Earth,1,True,True,Action,,63,0.57,Nintendo Wii,T,2007
The Simpsons Game,2,True,True,Action,EA,71,0.55,X360,T,2007
CrossworDS,1,True,True,"Educational,Strategy",,67,0.53,Nintendo DS,T,2007
Sonic Rush Adventure,1,True,True,"Action,Sports",Sega,78,0.52,Nintendo DS,T,2007
Tiger Woods PGA Tour 08,4,True,True,Sports,EA,80,0.51,X360,T,2007
Tony Hawk's Proving Ground,2,True,True,Sports,Activision,72,0.51,X360,T,2007
Call of Duty: Roads to Victory,1,True,True,Action,Activision,64,0.51,Sony PSP,E,2007
Transformers: The Game,1,True,True,Action,Activision,52,0.51,X360,M,2007
NBA 2K8,7,True,True,Sports,2K,81,0.5,PlayStation 3,M,2007
Medal of Honor: Heroes 2,1,True,True,Action,EA,69,0.5,Sony PSP,E,2007
Spider-Man 3,1,True,True,Action,Activision,63,0.5,X360,E,2007
Tom Clancy's Rainbow Six: Vegas,2,True,True,Action,Ubisoft,86,0.49,PlayStation 3,E,2007
Need for Speed: ProStreet,2,True,True,Racing / Driving,EA,61,0.49,Nintendo Wii,M,2007
NBA LIVE 08 ,1,True,True,Sports,EA,73,0.49,X360,T,2007
Dance Dance Revolution Universe 2,4,True,True,Action,Konami,65,0.48,X360,T,2007
MX vs. ATV Untamed,2,True,True,Racing / Driving,THQ,70,0.48,X360,T,2007
Final Fantasy IV,1,True,True,Role-Playing (RPG),SquareEnix,85,0.48,Nintendo DS,T,2007
NBA Street Homecourt,4,True,True,Sports,EA,80,0.47,X360,T,2007
The Simpsons Game,2,True,True,Action,EA,64,0.47,Nintendo Wii,T,2007
Winter Sports: The Ultimate Challenge,1,True,True,"Racing / Driving,Sports",,52,0.47,Nintendo Wii,E,2007
WWE Smackdown vs. Raw 2008,4,True,True,Sports,THQ,68,0.46,Sony PSP,E,2007
Tiger Woods PGA Tour 07,4,True,True,Sports,EA,71,0.46,Nintendo Wii,T,2007
Crash of the Titans,1,True,True,Action,,73,0.46,Nintendo DS,T,2007
Sonic Rivals 2,1,True,True,Action,Sega,60,0.46,Sony PSP,M,2007
Boogie,2,True,True,Action,EA,57,0.45,Nintendo Wii,T,2007
Medal of Honor: Airborne,2,True,True,Action,EA,73,0.45,X360,E,2007
The Sims 2: Castaway,1,True,True,Simulation,EA,73,0.45,Nintendo Wii,T,2007
Spider-Man 3,1,True,True,Action,Activision,53,0.45,Nintendo Wii,T,2007
Lost Odyssey,1,True,True,Role-Playing (RPG),Microsoft,78,0.45,X360,T,2007
Bee Movie Game,1,True,True,Adventure,Activision,58,0.44,Nintendo DS,E,2007
Spider-Man 3,1,True,True,Action,Activision,79,0.44,Nintendo DS,M,2007
Final Fantasy Tactics,1,True,True,"Role-Playing (RPG),Strategy",SquareEnix,88,0.44,Sony PSP,M,2007
Endless Ocean,1,True,True,Simulation,Nintendo,72,0.44,Nintendo Wii,E,2007
SingStar,6,True,True,Simulation,Sony,82,0.43,PlayStation 3,E,2007
Ratatouille,1,True,True,Action,THQ,62,0.43,Nintendo Wii,T,2007
The Sims 2: Pets,1,True,True,Simulation,EA,65,0.43,Nintendo Wii,T,2007
Two Worlds,1,True,True,"Action,Role-Playing (RPG)",,50,0.43,X360,M,2007
Crash of the Titans,2,True,True,Action,,69,0.42,Nintendo Wii,E,2007
Sonic the Hedgehog,2,True,True,Action,Sega,46,0.41,X360,T,2007
Mega Man Star Force: Dragon,1,True,True,"Action,Role-Playing (RPG)",Capcom,60,0.41,Nintendo DS,T,2007
Sonic the Hedgehog,2,True,True,Action,Sega,43,0.4,PlayStation 3,M,2007
Harry Potter and the Order of the Phoenix,1,True,True,Action,EA,69,0.4,Nintendo Wii,T,2007
Nicktoons: Attack of the Toybots,1,True,True,Action,THQ,60,0.4,Nintendo Wii,T,2007
WWE Smackdown vs. Raw 2008,4,True,True,Sports,THQ,59,0.39,Nintendo Wii,M,2007
The Simpsons Game,2,True,True,Action,EA,71,0.39,PlayStation 3,E,2007
DiRT,1,True,True,"Racing / Driving,Simulation,Sports",,83,0.39,X360,E,2007
Kane & Lynch: Dead Men,2,True,True,Action,Eidos,65,0.38,X360,E,2007
Jam Sessions,1,True,True,"Educational,Simulation",Ubisoft,72,0.38,Nintendo DS,T,2007
Monster Hunter Freedom 2,1,True,True,"Action,Strategy",Capcom,72,0.38,Sony PSP,T,2007
Shadowrun,1,True,True,Action,Microsoft,66,0.38,X360,E,2007
Thrillville: Off the Rails,4,True,True,"Simulation,Strategy",,70,0.37,Nintendo Wii,E,2007
Tony Hawk's Proving Ground,2,True,True,Sports,Activision,73,0.37,PlayStation 3,E,2007
My Word Coach,1,True,True,Educational,Ubisoft,71,0.37,Nintendo DS,T,2007
The World Ends With You,1,True,True,"Action,Adventure,Role-Playing (RPG)",SquareEnix,88,0.37,Nintendo DS,M,2007
The BIGS,4,True,True,"Action,Simulation,Sports",2K,66,0.36,Nintendo Wii,M,2007
NCAA Football 08,2,True,True,Sports,EA,77,0.36,PlayStation 3,T,2007
Final Fantasy Tactics A2: Grimoire of the Rift,1,True,True,"Role-Playing (RPG),Strategy",SquareEnix,80,0.36,Nintendo DS,E,2007
Beowulf: The Game,1,True,True,Action,Ubisoft,51,0.36,X360,E,2007
The Darkness,1,True,True,Action,2K,82,0.36,X360,M,2007
Tom Clancy's Ghost Recon: Advanced Warfighter 2...,4,True,True,Action,Ubisoft,84,0.35,PlayStation 3,T,2007
Final Fantasy,1,True,True,Role-Playing (RPG),SquareEnix,67,0.35,Sony PSP,T,2007
Lair,1,True,True,Action,Sony,53,0.35,PlayStation 3,E,2007
Transformers: The Game,1,True,True,Action,Activision,53,0.35,Nintendo Wii,T,2007
Command & Conquer 3: Tiberium Wars,1,True,True,Strategy,EA,82,0.35,X360,T,2007
Overlord,1,True,True,"Action,Strategy",,76,0.35,X360,M,2007
Diner Dash,1,True,True,Action,,64,0.34,Nintendo DS,T,2007
Medal of Honor: Heroes 2,1,True,True,Action,EA,73,0.34,Nintendo Wii,E,2007
MX vs. ATV Untamed,2,True,True,Racing / Driving,THQ,67,0.33,PlayStation 3,T,2007
Time Crisis 4,2,True,True,Action,Namco,60,0.33,PlayStation 3,M,2007
Dragon Ball Z: Budokai Tenkaichi 3,2,True,True,Action,Atari,72,0.33,Nintendo Wii,E,2007
Final Fantasy XII: Revenant Wings,1,True,True,"Role-Playing (RPG),Strategy",SquareEnix,81,0.33,Nintendo DS,T,2007
SOCOM: U.S. Navy SEALs - Tactical Strike,1,True,True,"Action,Strategy",Sony,72,0.33,Sony PSP,M,2007
Unreal Tournament III,1,True,True,Action,Midway,86,0.33,PlayStation 3,M,2007
Bee Movie Game,2,True,True,Action,Activision,62,0.32,Nintendo Wii,E,2007
Def Jam: Icon,2,True,True,Action,EA,69,0.32,X360,M,2007
Transformers: The Game,1,True,True,Action,Activision,54,0.32,PlayStation 3,E,2007
TimeShift,1,True,True,Action,,70,0.32,X360,M,2007
SSX Blur,4,True,True,Sports,EA,74,0.31,Nintendo Wii,E,2007
Bleach: The Blade of Fate,1,True,True,Action,Sega,83,0.31,Nintendo DS,E,2007
EA Playground,1,True,True,"Racing / Driving,Sports",EA,60,0.31,Nintendo DS,E,2007
Final Fantasy II,1,True,True,Role-Playing (RPG),SquareEnix,63,0.31,Sony PSP,E,2007
The Eye of Judgment,2,True,True,Strategy,Sony,75,0.3,PlayStation 3,E,2007
MLB 07: The Show,2,True,True,Sports,Sony,77,0.3,PlayStation 3,T,2007
Virtua Fighter 5,2,True,True,Action,Sega,85,0.3,PlayStation 3,M,2007
NiGHTS: Journey of Dreams,2,True,True,Action,Sega,69,0.3,Nintendo Wii,M,2007
Puzzle Quest: Challenge of the Warlords,1,True,True,"Role-Playing (RPG),Strategy",,82,0.3,Nintendo DS,E,2007
NBA Live 08,1,True,True,Sports,EA,73,0.3,Sony PSP,E,2007
Kane & Lynch: Dead Men,2,True,True,Action,Eidos,64,0.29,PlayStation 3,E,2007
Crash of the Titans,2,True,True,Action,,65,0.29,X360,E,2007
Harry Potter and the Order of the Phoenix,1,True,True,Action,EA,51,0.29,Nintendo DS,E,2007
SimCity DS,1,True,True,Simulation,EA,69,0.29,Nintendo DS,T,2007
Wario: Master of Disguise,1,True,True,Action,Nintendo,60,0.29,Nintendo DS,E,2007
No More Heroes,1,True,True,"Action,Racing / Driving",Ubisoft,83,0.29,Nintendo Wii,M,2007
BlackSite: Area 51,1,True,True,Action,Midway,62,0.29,X360,E,2007
Shrek the Third,2,True,True,Action,Activision,56,0.28,X360,E,2007
Shrek the Third,1,True,True,Adventure,Activision,70,0.28,Nintendo DS,T,2007
Surf's Up,1,True,True,"Racing / Driving,Sports",Ubisoft,56,0.28,Nintendo DS,T,2007
